iter	Passed	Remaining
261	8425	23732
262	8456	23698
263	8488	23664
264	8519	23629
265	8550	23595
266	8581	23559
267	8612	23522
268	8643	23489
269	8674	23454
270	8706	23422
271	8738	23388
272	8769	23352
273	8800	23316
274	8831	23283
275	8864	23252
276	8895	23219
277	8927	23185
278	8958	23151
279	8990	23119
280	9024	23090
281	9055	23057
282	9087	23022
283	9118	22988
284	9149	22952
285	9179	22917
286	9211	22885
287	9245	22855
288	9275	22820
289	9307	22787
290	9339	22754
291	9370	22719
292	9402	22688
293	9435	22657
294	9466	22623
295	9498	22591
296	9528	22555
297	9560	22520
298	9589	22483
299	9621	22449
300	9652	22416
301	9685	22385
302	9717	22352
303	9748	22319
304	9780	22286
305	9813	22257
306	9846	22226
307	9878	22195
308	9910	22161
309	9940	22125
310	9972	22094
311	10005	22063
312	10038	22033
313	10069	21998
314	10099	21962
315	10130	21929
316	10163	21898
317	10195	21865
318	10226	21830
319	10257	21798
320	10289	21764
321	10320	21729
322	10350	21693
323	10380	21658
324	10411	21623
325	10442	21590
326	10473	21555
327	10503	21519
328	10534	21484
329	10566	21452
330	10599	21422
331	10631	21391
332	10662	21357
333	10694	21324
334	10726	21292
335	10757	21259
336	10788	21225
337	10819	21191
338	10850	21157
339	10881	21123
340	10915	21093
341	10947	21062
342	10979	21030
343	11010	20996
344	11041	20963
345	11072	20929
346	11103	20894
347	11135	20863
348	11167	20830
349	11198	20797
350	11230	20764
351	11261	20731
352	11293	20699
353	11324	20666
354	11355	20631
355	11388	20601
356	11419	20567
357	11450	20533
358	11480	20499
359	11511	20465
360	11544	20435
361	11577	20404
362	11609	20372
363	11642	20342
364	11674	20310
365	11708	20281
366	11739	20248
367	11770	20215
368	11801	20180
369	11832	20146
370	11864	20115
371	11895	20081
372	11927	20048
373	11958	20016
374	11990	19983
375	12021	19951
376	12054	19919
377	12086	19888
378	12118	19855
379	12148	19820
380	12180	19789
381	12212	19757
382	12243	19724
383	12273	19689
384	12306	19657
385	12337	19624
386	12368	19592
387	12402	19562
388	12433	19529
389	12465	19498
390	12498	19466
391	12529	19433
392	12559	19399
393	12589	19364
394	12620	19330
395	12653	19299
396	12684	19266
397	12716	19234
398	12748	19201
399	12779	19169
400	12812	19139
401	12843	19105
